"person_id","study_id","language","gender","age","education","hg_1","hg_3","hg_4","hg_7","hg_10","hg_13","pp_1","pp_6","pp_8","pp_11","pp_12","pp_14","pp_15","pp_17","mc_1","mc_2","mc_3","mc_7","mc_15","mc_18","mc_20","mc_23","hg","pp","mc","cr","cp","cc"
"01_205","01","DE","m",52,4,4,4,4,5,5,4,5,4,3,4,4,3,4,4,4,5,3,4,2,4,4,4,4.4,3.8,3.8,NA,NA,NA
"01_206","01","DE","f",29,6,5,4,3,5,3,5,4,4,3,6,5,3,5,5,6,4,5,6,4,4,6,5,4.4,4,5.2,NA,NA,NA
"01_207","01","DE","f",49,5,2,3,4,6,5,4,5,5,3,4,5,4,4,3,4,5,5,4,4,4,4,1,4,4.2,3.6,NA,NA,NA
"01_208","01","DE","m",55,4,6,5,4,5,5,5,2,1,1,1,1,2,1,2,3,5,5,4,3,3,6,6,5.2,1.4,4.6,NA,NA,NA
"01_211","01","DE","f",28,4,3,4,1,3,2,3,4,4,4,5,4,3,3,3,3,3,5,4,4,4,3,3,3,3.6,3.6,NA,NA,NA
"01_210","01","DE","m",29,6,4,1,3,6,6,4,3,5,4,5,5,1,4,5,4,3,5,6,5,4,4,6,4.2,3.4,4.6,NA,NA,NA
"01_209","01","DE","m",35,6,2,4,2,4,5,5,4,4,6,5,3,3,4,3,3,4,4,6,4,4,5,4,4,4,4,NA,NA,NA
"01_213","01","DE","m",64,2,5,4,3,3,2,4,3,3,3,2,3,3,2,3,3,3,4,5,4,3,4,4,3.6,2.8,3.6,NA,NA,NA
"01_215","01","DE","f",23,5,5,4,4,2,4,5,4,4,4,4,5,4,4,4,6,4,5,4,3,4,5,5,4,4.2,5,NA,NA,NA
"01_216","01","DE","m",23,5,4,4,3,4,4,2,5,5,5,5,5,4,3,3,6,5,6,5,1,6,5,4,3.6,4.4,5.4,NA,NA,NA
"01_217","01","DE","f",49,6,5,4,4,4,5,4,4,4,4,5,5,3,3,5,4,3,5,5,5,4,4,4,4.4,3.8,4.2,NA,NA,NA
"01_218","01","DE","f",24,6,2,4,3,5,5,5,3,5,3,5,5,4,3,5,6,5,5,5,4,5,4,5,4.2,3.6,5,NA,NA,NA
"01_219","01","DE","m",30,4,5,2,2,2,2,5,2,2,2,5,2,2,2,5,5,5,2,2,2,2,4,3,3.2,2,3.2,NA,NA,NA
"01_221","01","DE","f",45,4,4,2,2,4,1,4,3,2,4,2,5,2,2,1,2,1,3,2,2,2,1,1,3,3.2,1.8,NA,NA,NA
"01_222","01","DE","f",33,4,3,3,2,3,5,6,3,4,3,6,4,3,2,3,3,2,3,3,4,1,1,4,4,3,2.4,NA,NA,NA
"01_224","01","DE","m",61,4,4,3,2,4,3,3,4,3,3,4,3,4,3,3,3,4,4,3,4,3,4,4,3.4,3.4,3.6,NA,NA,NA
"01_225","01","DE","m",53,6,6,3,4,6,5,6,4,4,5,5,2,5,5,5,6,5,4,5,4,5,6,6,5.2,4.2,5.4,NA,NA,NA
"01_226","01","DE","f",55,4,4,2,2,1,1,6,4,6,1,6,1,1,4,3,6,2,1,6,4,2,4,4,2.8,2.2,3.4,NA,NA,NA
"01_229","01","DE","m",41,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA
"01_230","01","DE","m",36,6,5,2,3,3,3,3,3,3,2,3,4,3,4,4,6,3,4,4,1,3,2,4,3.2,3.2,3.8,NA,NA,NA
"01_231","01","DE","m",55,4,5,4,4,3,5,4,5,6,5,5,6,6,5,4,5,4,4,5,3,4,4,4,4.2,5.4,4.2,NA,NA,NA
"01_232","01","DE","m",52,4,4,2,1,4,2,3,4,4,4,4,4,4,4,3,5,3,5,4,4,4,5,5,3,4,4.8,NA,NA,NA
"01_234","01","DE","m",65,7,2,3,4,4,2,4,3,5,4,2,5,3,4,4,6,6,6,4,6,5,6,4,3,3.8,5.4,NA,NA,NA
"01_235","01","DE","f",52,4,1,1,3,1,1,4,1,5,4,6,5,4,4,4,5,4,6,5,1,4,4,5,1.6,3.6,4.8,NA,NA,NA
"01_236","01","DE","f",43,6,4,2,2,3,2,3,2,2,4,5,3,4,3,2,2,2,3,3,4,2,2,4,2.8,3.2,2.6,NA,NA,NA
"01_237","01","DE","f",47,5,4,5,6,4,4,6,6,6,2,6,2,1,1,5,6,1,6,5,6,4,3,6,4.6,2.4,5,NA,NA,NA
"01_238","01","DE","f",44,4,4,1,4,1,1,6,6,6,6,6,4,4,5,4,3,4,4,4,4,3,1,2,2.6,5,2.6,NA,NA,NA
"01_239","01","DE","m",43,4,6,2,6,6,5,5,6,6,5,6,6,4,5,5,4,6,5,5,5,5,6,4,4.8,5.2,4.8,NA,NA,NA
"01_240","01","DE","f",26,3,4,5,2,4,1,4,1,3,1,6,1,1,3,3,2,6,5,3,5,6,4,6,3.6,1.4,4.6,NA,NA,NA
"01_241","01","DE","m",32,4,3,3,2,4,2,4,3,3,3,5,4,3,3,3,3,2,2,4,4,3,3,4,3.2,3.2,3,NA,NA,NA
"01_242","01","DE","f",54,6,4,3,3,3,3,4,3,4,3,3,3,4,3,3,3,3,3,4,3,3,3,3,3.4,3.2,3,NA,NA,NA
"01_243","01","DE","m",54,4,4,3,3,3,3,3,2,3,2,4,3,3,3,3,4,2,4,4,5,4,4,3,3.2,2.6,3.8,NA,NA,NA
"01_247","01","DE","f",33,4,4,3,1,1,1,4,4,4,2,2,2,4,2,1,3,4,4,4,3,4,5,2,2.6,2.8,3.6,NA,NA,NA
"01_248","01","DE","f",28,6,4,2,2,2,1,3,3,3,3,4,4,2,3,2,4,3,4,3,4,3,3,3,2.4,3,3.4,NA,NA,NA
"01_249","01","DE","f",33,6,6,3,4,4,3,4,5,5,4,4,5,4,4,4,5,3,5,4,5,4,4,4,4,4.4,4.4,NA,NA,NA
"01_251","01","DE","m",39,6,5,4,2,4,1,6,5,4,3,5,5,3,4,6,3,1,4,6,3,3,2,2,4,4,2.8,NA,NA,NA
"01_252","01","DE","f",55,2,6,3,2,4,3,5,4,4,4,5,5,4,4,4,4,3,4,6,4,4,4,4,4.2,4.2,4,NA,NA,NA
"01_253","01","DE","m",35,4,5,2,2,2,2,3,4,4,4,3,4,5,4,4,5,2,4,5,4,4,4,3,2.8,4.2,4,NA,NA,NA
"01_254","01","DE","m",56,6,4,4,4,4,4,4,4,4,3,4,4,4,3,4,4,3,4,4,2,4,4,4,4,3.6,4,NA,NA,NA
"01_255","01","DE","f",34,6,4,5,5,5,6,6,5,5,5,5,6,5,4,5,4,4,6,4,5,6,4,5,5.2,5,5,NA,NA,NA
"01_258","01","DE","m",52,4,4,4,5,4,5,4,5,4,5,5,4,5,4,4,6,4,5,4,5,5,4,3,4.2,4.6,4.6,NA,NA,NA
"01_260","01","DE","f",30,5,4,3,2,4,3,5,4,4,4,4,4,4,3,3,2,1,4,3,3,2,3,3,3.8,3.8,2.8,NA,NA,NA
"01_262","01","DE","m",60,4,4,2,1,4,2,4,6,3,4,2,5,5,4,4,5,5,6,5,5,5,5,5,3.2,4.8,5.2,NA,NA,NA
"01_263","01","DE","f",52,4,2,3,2,5,2,4,4,4,5,4,3,2,3,3,4,3,4,3,4,2,5,4,3.2,3.4,3.8,NA,NA,NA
"01_266","01","DE","f",55,4,3,4,3,4,3,3,4,3,4,4,4,3,4,4,3,4,4,4,4,4,3,4,3.4,3.8,3.6,NA,NA,NA
"01_268","01","DE","f",49,4,6,6,5,5,3,5,4,6,6,5,4,4,3,4,4,4,4,4,3,3,3,5,5,4.2,3.8,NA,NA,NA
"01_269","01","DE","f",32,4,5,3,1,5,3,3,4,5,2,6,2,4,2,2,5,4,4,4,4,1,5,4,3.8,2.8,3.8,NA,NA,NA
"01_270","01","DE","f",41,3,2,2,2,4,3,3,4,2,2,2,3,2,4,4,2,2,3,2,4,3,3,4,2.8,3,3,NA,NA,NA
"01_271","01","DE","m",52,4,6,6,6,6,6,6,5,6,6,6,6,6,1,6,6,6,6,6,6,6,6,6,6,4.8,6,NA,NA,NA
"01_272","01","DE","f",41,3,3,4,2,4,2,3,3,4,3,3,4,2,3,3,3,3,3,3,4,3,3,3,3.2,3,3,NA,NA,NA
"01_273","01","DE","f",54,4,6,2,1,1,1,3,2,2,4,4,3,2,4,2,1,1,2,2,4,2,2,4,2.6,3,2.2,NA,NA,NA
"01_274","01","DE","f",48,4,5,3,2,3,2,5,3,4,2,3,4,2,5,5,5,4,3,4,2,4,3,4,3.6,3.2,3.8,NA,NA,NA
"01_275","01","DE","f",34,6,4,4,3,4,3,4,4,4,4,4,4,3,3,4,4,3,4,4,4,4,3,4,3.8,3.6,3.8,NA,NA,NA
"01_276","01","DE","f",39,4,2,6,6,6,6,6,6,6,6,6,5,6,5,6,6,4,6,6,6,6,6,6,5.2,5.6,6,NA,NA,NA
"01_279","01","DE","f",49,4,4,4,2,5,3,5,3,3,3,5,4,3,1,3,4,1,1,4,2,3,3,3,4.2,2.8,2.8,NA,NA,NA
"01_280","01","DE","m",59,5,5,4,4,4,4,4,4,5,5,5,5,4,4,5,5,3,5,5,2,4,5,6,4.2,4.4,5,NA,NA,NA
"01_281","01","DE","f",30,4,4,6,1,2,5,5,6,5,3,4,2,1,3,2,5,6,6,6,6,3,4,6,4.4,3,4.8,NA,NA,NA
"01_282","01","DE","f",28,6,1,4,2,2,1,4,4,5,5,5,4,3,3,4,5,5,4,4,5,4,4,5,2.4,3.8,4.4,NA,NA,NA
"01_283","01","DE","m",39,2,6,1,1,1,1,6,1,3,1,6,3,1,1,3,6,4,1,6,4,1,1,6,3,1.4,3,NA,NA,NA
"01_284","01","DE","f",39,4,3,4,1,3,2,4,3,3,4,4,4,4,3,4,5,4,5,4,4,4,4,4,3.2,3.6,4.4,NA,NA,NA
"01_287","01","DE","f",42,4,1,1,1,1,1,1,1,1,1,1,6,6,3,3,6,6,6,4,1,1,1,1,1,3.4,3,NA,NA,NA
